iso3,overlay,entity_count,coverage_flag
JAM,telecom,0,missing
JAM,defense,0,missing
JAM,security,0,missing
JAM,finance,0,missing
JAM,critical_infra,0,missing
JAM,energy,0,missing
JAM,none,2,present
JOR,media,0,missing
JOR,tech_platform,1,present
JOR,telecom,0,missing
JOR,defense,0,missing
JOR,security,0,missing
JOR,finance,0,missing
JOR,critical_infra,0,missing
JOR,energy,0,missing
JOR,none,9,present
JPN,media,0,missing
JPN,tech_platform,8,present
JPN,telecom,0,missing
JPN,defense,0,missing
JPN,security,0,missing
JPN,finance,0,missing
JPN,critical_infra,0,missing
JPN,energy,0,missing
JPN,none,39,present
KAZ,media,0,missing
KAZ,tech_platform,2,present
KAZ,telecom,0,missing
KAZ,defense,0,missing
KAZ,security,0,missing
KAZ,finance,0,missing
KAZ,critical_infra,0,missing
KAZ,energy,0,missing
KAZ,none,14,present
KEN,media,0,missing
KEN,tech_platform,2,present
KEN,telecom,0,missing
KEN,defense,0,missing
KEN,security,0,missing
KEN,finance,0,missing
KEN,critical_infra,0,missing
KEN,energy,0,missing
KEN,none,25,present
KGZ,media,0,missing
KGZ,tech_platform,2,present
KGZ,telecom,0,missing
KGZ,defense,0,missing
KGZ,security,0,missing
KGZ,finance,0,missing
KGZ,critical_infra,0,missing
KGZ,energy,0,missing
KGZ,none,16,present
KHM,media,0,missing
KHM,tech_platform,3,present
KHM,telecom,0,missing
KHM,defense,0,missing
KHM,security,0,missing
KHM,finance,0,missing
KHM,critical_infra,0,missing
KHM,energy,0,missing
KHM,none,10,present
KIR,media,0,missing
KIR,tech_platform,0,missing
KIR,telecom,0,missing
KIR,defense,0,missing
KIR,security,0,missing
KIR,finance,0,missing
KIR,critical_infra,0,missing
KIR,energy,0,missing
KIR,none,0,missing
KNA,media,0,missing
KNA,tech_platform,0,missing
KNA,telecom,0,missing
KNA,defense,0,missing
KNA,security,0,missing
KNA,finance,0,missing
KNA,critical_infra,0,missing
KNA,energy,0,missing
KNA,none,0,missing
KOR,media,0,missing
KOR,tech_platform,1,present
KOR,telecom,0,missing
KOR,defense,0,missing
KOR,security,0,missing
KOR,finance,0,missing
KOR,critical_infra,0,missing
KOR,energy,0,missing
KOR,none,41,present
KWT,media,0,missing
KWT,tech_platform,0,missing
KWT,telecom,0,missing
KWT,defense,0,missing
KWT,security,0,missing
KWT,finance,0,missing
KWT,critical_infra,0,missing
KWT,energy,0,missing
KWT,none,13,present
LAO,media,0,missing
LAO,tech_platform,0,missing
LAO,telecom,0,missing
LAO,defense,0,missing
LAO,security,0,missing
LAO,finance,0,missing
LAO,critical_infra,0,missing
LAO,energy,0,missing
LAO,none,13,present
LBN,media,0,missing
LBN,tech_platform,1,present
LBN,telecom,0,missing
LBN,defense,0,missing
LBN,security,0,missing
LBN,finance,0,missing
LBN,critical_infra,0,missing
LBN,energy,0,missing
LBN,none,25,present
LBR,media,0,missing
LBR,tech_platform,0,missing
LBR,telecom,0,missing
LBR,defense,0,missing
LBR,security,0,missing
LBR,finance,0,missing
LBR,critical_infra,0,missing
LBR,energy,0,missing
