dataset,source_column,output_column
vdem,v2elpdcamp_nr,vdem__v2elpdcamp_nr
vdem,v2elpaidig,vdem__v2elpaidig
vdem,v2elpaidig_codelow,vdem__v2elpaidig_codelow
vdem,v2elpaidig_codehigh,vdem__v2elpaidig_codehigh
vdem,v2elpaidig_sd,vdem__v2elpaidig_sd
vdem,v2elpaidig_osp,vdem__v2elpaidig_osp
vdem,v2elpaidig_osp_codelow,vdem__v2elpaidig_osp_codelow
vdem,v2elpaidig_osp_codehigh,vdem__v2elpaidig_osp_codehigh
vdem,v2elpaidig_osp_sd,vdem__v2elpaidig_osp_sd
vdem,v2elpaidig_ord,vdem__v2elpaidig_ord
vdem,v2elpaidig_ord_codelow,vdem__v2elpaidig_ord_codelow
vdem,v2elpaidig_ord_codehigh,vdem__v2elpaidig_ord_codehigh
vdem,v2elpaidig_mean,vdem__v2elpaidig_mean
vdem,v2elpaidig_nr,vdem__v2elpaidig_nr
vdem,v2elfrfair,vdem__v2elfrfair
vdem,v2elfrfair_codelow,vdem__v2elfrfair_codelow
vdem,v2elfrfair_codehigh,vdem__v2elfrfair_codehigh
vdem,v2elfrfair_sd,vdem__v2elfrfair_sd
vdem,v2elfrfair_osp,vdem__v2elfrfair_osp
vdem,v2elfrfair_osp_codelow,vdem__v2elfrfair_osp_codelow
vdem,v2elfrfair_osp_codehigh,vdem__v2elfrfair_osp_codehigh
vdem,v2elfrfair_osp_sd,vdem__v2elfrfair_osp_sd
vdem,v2elfrfair_ord,vdem__v2elfrfair_ord
vdem,v2elfrfair_ord_codelow,vdem__v2elfrfair_ord_codelow
vdem,v2elfrfair_ord_codehigh,vdem__v2elfrfair_ord_codehigh
vdem,v2elfrfair_mean,vdem__v2elfrfair_mean
vdem,v2elfrfair_nr,vdem__v2elfrfair_nr
vdem,v2elrstrct,vdem__v2elrstrct
vdem,v2eldommon,vdem__v2eldommon
vdem,v2elintmon,vdem__v2elintmon
vdem,v2elmonden,vdem__v2elmonden
vdem,v2elmonref,vdem__v2elmonref
vdem,v2elaccept,vdem__v2elaccept
vdem,v2elaccept_codelow,vdem__v2elaccept_codelow
vdem,v2elaccept_codehigh,vdem__v2elaccept_codehigh
vdem,v2elaccept_sd,vdem__v2elaccept_sd
vdem,v2elaccept_osp,vdem__v2elaccept_osp
vdem,v2elaccept_osp_codelow,vdem__v2elaccept_osp_codelow
vdem,v2elaccept_osp_codehigh,vdem__v2elaccept_osp_codehigh
vdem,v2elaccept_osp_sd,vdem__v2elaccept_osp_sd
vdem,v2elaccept_ord,vdem__v2elaccept_ord
vdem,v2elaccept_ord_codelow,vdem__v2elaccept_ord_codelow
vdem,v2elaccept_ord_codehigh,vdem__v2elaccept_ord_codehigh
vdem,v2elaccept_mean,vdem__v2elaccept_mean
vdem,v2elaccept_nr,vdem__v2elaccept_nr
vdem,v2elasmoff,vdem__v2elasmoff
vdem,v2elasmoff_codelow,vdem__v2elasmoff_codelow
vdem,v2elasmoff_codehigh,vdem__v2elasmoff_codehigh
vdem,v2elasmoff_sd,vdem__v2elasmoff_sd
vdem,v2elasmoff_osp,vdem__v2elasmoff_osp
vdem,v2elasmoff_osp_codelow,vdem__v2elasmoff_osp_codelow
vdem,v2elasmoff_osp_codehigh,vdem__v2elasmoff_osp_codehigh
vdem,v2elasmoff_osp_sd,vdem__v2elasmoff_osp_sd
vdem,v2elasmoff_ord,vdem__v2elasmoff_ord
vdem,v2elasmoff_ord_codelow,vdem__v2elasmoff_ord_codelow
vdem,v2elasmoff_ord_codehigh,vdem__v2elasmoff_ord_codehigh
vdem,v2elasmoff_mean,vdem__v2elasmoff_mean
vdem,v2elasmoff_nr,vdem__v2elasmoff_nr
vdem,v2elvaptrn,vdem__v2elvaptrn
vdem,v2eltrnout,vdem__v2eltrnout
vdem,v2lpname,vdem__v2lpname
vdem,v2slpname,vdem__v2slpname
vdem,v2tlpname,vdem__v2tlpname
vdem,v2eltvrexo,vdem__v2eltvrexo
vdem,v2elvotlrg,vdem__v2elvotlrg
vdem,v2elvotsml,vdem__v2elvotsml
vdem,v2elturnhog,vdem__v2elturnhog
vdem,v2elturnhos,vdem__v2elturnhos
vdem,v2elrsthos,vdem__v2elrsthos
vdem,v2elrsthog,vdem__v2elrsthog
vdem,v2elprescons,vdem__v2elprescons
vdem,v2elprescumul,vdem__v2elprescumul
vdem,v2elthresh,vdem__v2elthresh
vdem,v2eltvrig,vdem__v2eltvrig
vdem,v2ellostsl,vdem__v2ellostsl
vdem,v2ellostss,vdem__v2ellostss
vdem,v2ellovtlg,vdem__v2ellovtlg
vdem,v2ellovtsm,vdem__v2ellovtsm
vdem,v2ellostlg,vdem__v2ellostlg
vdem,v2elloseat,vdem__v2elloseat
vdem,v2ellostsm,vdem__v2ellostsm
vdem,v2elloelsy,vdem__v2elloelsy
vdem,v2ellocons,vdem__v2ellocons
vdem,v2ellocumul,vdem__v2ellocumul
vdem,v2elparlel,vdem__v2elparlel
vdem,v2elloeldm,vdem__v2elloeldm
vdem,v2ellovttm,vdem__v2ellovttm
vdem,v2ellosttm,vdem__v2ellosttm
vdem,v2ellostts,vdem__v2ellostts
vdem,v2ellobaseat,vdem__v2ellobaseat
vdem,v2ellobadis,vdem__v2ellobadis
vdem,v2elloupdis,vdem__v2elloupdis
vdem,v2elloreseat,vdem__v2elloreseat
vdem,v2ellodiseff,vdem__v2ellodiseff
vdem,v2elreggov,vdem__v2elreggov
vdem,v2elregnam,vdem__v2elregnam
vdem,v2elsrgel,vdem__v2elsrgel
vdem,v2elrgpwr,vdem__v2elrgpwr
vdem,v2elrgpwr_codelow,vdem__v2elrgpwr_codelow
vdem,v2elrgpwr_codehigh,vdem__v2elrgpwr_codehigh
vdem,v2elrgpwr_sd,vdem__v2elrgpwr_sd
vdem,v2elrgpwr_osp,vdem__v2elrgpwr_osp
vdem,v2elrgpwr_osp_codelow,vdem__v2elrgpwr_osp_codelow
vdem,v2elrgpwr_osp_codehigh,vdem__v2elrgpwr_osp_codehigh
vdem,v2elrgpwr_osp_sd,vdem__v2elrgpwr_osp_sd
vdem,v2elrgpwr_ord,vdem__v2elrgpwr_ord
vdem,v2elrgpwr_ord_codelow,vdem__v2elrgpwr_ord_codelow
vdem,v2elrgpwr_ord_codehigh,vdem__v2elrgpwr_ord_codehigh
vdem,v2elrgpwr_mean,vdem__v2elrgpwr_mean
vdem,v2elrgpwr_nr,vdem__v2elrgpwr_nr
vdem,v2ellocgov,vdem__v2ellocgov
vdem,v2ellocnam,vdem__v2ellocnam
vdem,v2ellocelc,vdem__v2ellocelc
vdem,v2ellocpwr,vdem__v2ellocpwr
vdem,v2ellocpwr_codelow,vdem__v2ellocpwr_codelow
vdem,v2ellocpwr_codehigh,vdem__v2ellocpwr_codehigh
vdem,v2ellocpwr_sd,vdem__v2ellocpwr_sd
vdem,v2ellocpwr_osp,vdem__v2ellocpwr_osp
vdem,v2ellocpwr_osp_codelow,vdem__v2ellocpwr_osp_codelow
vdem,v2ellocpwr_osp_codehigh,vdem__v2ellocpwr_osp_codehigh
vdem,v2ellocpwr_osp_sd,vdem__v2ellocpwr_osp_sd
