iso3,year,A,G,M,P,S_norm,decline_norm,risk_score,risk_band,guardrail_breach,alignment_low,tipping_zone,percolation_risk,shock_high,decline_high
CYP,2023,0.7596889407373073,0.7245384034265839,0.22514392407032832,0.4911463337909006,0.08571428571428572,0.0875550351972097,0.752510761070003,high,False,False,False,False,False,True
CYP,2024,0.5240976685514991,0.7130431460009502,0.22514392407032832,0.4911463337909006,0.08571428571428572,0.0875550351972097,0.7956190317968644,high,False,False,False,False,False,True
CYP,2025,0.5240976685514991,0.5233522708238927,0.22514392407032832,0.4911463337909006,0.19042857142857142,0.07453725637407027,0.8321916136459583,high,False,False,False,False,False,True
CYP,2026,0.5240976685514991,0.5233522708238927,0.22514392407032832,0.4911463337909006,0.19042857142857142,0.0,0.8236986707357846,high,False,False,False,False,False,False
CZE,2020,0.7991955599906595,0.7726311714874765,0.49563473540445696,0.6346023956020782,0.04757142857142858,0.0,0.7745153426865722,high,False,False,False,False,False,False
CZE,2021,0.7988219999289669,0.7803398296268006,0.49563473540445696,0.6346023956020782,0.031714285714285716,0.0,0.771559140225849,high,False,False,False,False,False,False
CZE,2022,0.8330587852581633,0.8079864596029566,0.49563473540445696,0.6346023956020782,0.03571428571428571,0.0,0.7609059097179229,high,False,False,False,False,False,False
CZE,2023,0.8446729868177952,0.8231577376222361,0.49563473540445696,0.6346023956020782,0.017857142857142856,0.0,0.7540170557612307,high,False,False,False,False,False,False
CZE,2024,0.5240976685514991,0.8278483829607743,0.49563473540445696,0.6346023956020782,0.017857142857142856,0.0,0.8078402792835213,high,False,False,False,False,False,False
CZE,2025,0.5240976685514991,0.5233522708238927,0.49563473540445696,0.6346023956020782,0.19042857142857142,0.0,0.8634301065969402,high,False,False,False,False,False,False
CZE,2026,0.5240976685514991,0.5233522708238927,0.49563473540445696,0.6346023956020782,0.19042857142857142,0.0,0.8634301065969402,high,False,False,False,False,False,False
DEU,2020,0.9273374341226569,0.9308355676629254,0.4851037661057888,0.7659203577238928,0.18371428571428572,0.0,0.7502021658136131,high,False,False,False,False,False,False
DEU,2021,0.9203191432868266,0.9192889609706137,0.4851037661057888,0.7659203577238928,0.20414285714285715,0.0,0.7559335290296406,high,False,False,False,False,False,False
DEU,2022,0.9109432068829427,0.90970940688477,0.4851037661057888,0.7659203577238928,0.20414285714285715,0.06489090973117562,0.7687703745360481,high,False,False,False,False,False,True
DEU,2023,0.9061096151343294,0.904884928491177,0.4851037661057888,0.7659203577238928,0.19042857142857142,0.05601534676890776,0.7677607559343873,high,False,False,False,False,False,True
DEU,2024,0.5240976685514991,0.9118991407413501,0.4851037661057888,0.7659203577238928,0.21428571428571427,0.05601534676890776,0.8299145977607569,high,False,False,False,False,False,True
DEU,2025,0.5240976685514991,0.5233522708238927,0.4851037661057888,0.7659203577238928,0.19042857142857142,0.056243529822047944,0.8764720375977145,high,False,False,False,False,False,True
DEU,2026,0.5240976685514991,0.5233522708238927,0.4851037661057888,0.7659203577238928,0.19042857142857142,0.0,0.871517409772015,high,False,False,False,False,False,False
